Aguascalientes: Aguascalientes, Calvillo, Jesús María
Baja California: Mexicali, Tijuana, Ensenada
Baja California Sur: La Paz, Los Cabos, Comondú
Campeche: Campeche, Ciudad del Carmen, Champotón
Chiapas: Tuxtla Gutiérrez, San Cristóbal de las Casas, Tapachula
Chihuahua: Chihuahua, Juárez, Delicias
Coahuila: Saltillo, Torreón, Monclova
Colima: Colima, Manzanillo, Tecomán
Durango: Durango, Gómez Palacio, Lerdo
Guanajuato: León, Irapuato, Celaya
Guerrero: Acapulco, Chilpancingo, Zihuatanejo
Hidalgo: Pachuca, Tulancingo, Tula de Allende
Jalisco: Guadalajara, Zapopan, Puerto Vallarta
Estado de México: Toluca, Ecatepec, Naucalpan
Michoacán: Morelia, Uruapan, Zamora
Morelos: Cuernavaca, Cuautla, Jiutepec
Nayarit: Tepic, Bahía de Banderas, Compostela
Nuevo León: Monterrey, Guadalupe, San Nicolás de los Garza
Oaxaca: Oaxaca de Juárez, Salina Cruz, Juchitán de Zaragoza
Puebla: Puebla, Tehuacán, Cholula
Querétaro: Santiago de Querétaro, San Juan del Río, El Marqués
Quintana Roo: Cancún, Playa del Carmen, Chetumal
San Luis Potosí: San Luis Potosí, Soledad de Graciano Sánchez, Matehuala
Sinaloa: Culiacán, Mazatlán, Los Mochis
Sonora: Hermosillo, Ciudad Obregón, Nogales
Tabasco: Villahermosa, Cárdenas, Comalcalco
Tamaulipas: Ciudad Victoria, Reynosa, Matamoros
Tlaxcala: Tlaxcala, Apizaco, Huamantla
Veracruz: Veracruz, Xalapa, Coatzacoalcos
Yucatán: Mérida, Valladolid, Progreso
Zacatecas: Zacatecas, Fresnillo, Guadalupe
